127.0.0.1 - - [04/Feb/2017:13:44:22 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:49:46 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage?3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:49:46 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:49:46 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage;jsessionid=0EEB57DAC5BA8D5768F8EFFAB3B1D02C?0 HTTP/1.1" 200 7237
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:49:46 +0200] "GET /elibrary/css/bootstrap-theme.min.css HTTP/1.1" 200 145229
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:49:46 +0200] "GET /elibrary/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-ajax-jquery-debug-ver-1470924768000.js HTTP/1.1" 200 9018
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:49:46 +0200] "GET /elibrary/css/elibraryAdditionalStyle.css HTTP/1.1" 200 11714
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:49:46 +0200] "GET /elibrary/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-ajax-jquery-ver-1470924768000.js HTTP/1.1" 200 87183
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:49:46 +0200] "GET /elibrary/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-event-jquery-ver-1470924768000.js HTTP/1.1" 200 9468
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:49:46 +0200] "GET /elibrary/wicket/resource/org.apache.wicket.resource.JQueryResourceReference/jquery/jquery-1.12.4-ver-1470924768000.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:49:46 +0200] "GET /elibrary/js/jquery-1.11.3.js HTTP/1.1" 200 284394
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:49:46 +0200] "GET /elibrary/css/bootstrap-datepicker3.min.css HTTP/1.1" 200 21183
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:49:46 +0200] "GET /elibrary/js/blockui.js HTTP/1.1" 200 21608
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:49:46 +0200] "GET /elibrary/js/bootstrap-datepicker.min.js HTTP/1.1" 200 34129
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:49:46 +0200] "GET /elibrary/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:49:46 +0200] "GET /elibrary/js/elibraryAdditionalJavaScript.js HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:49:47 +0200] "GET /elibrary/img/life_34-wallpaper-1920x10809.png HTTP/1.1" 200 1134880
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:50:13 +0200] "POST /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage;jsessionid=0EEB57DAC5BA8D5768F8EFFAB3B1D02C?0-1.IBehaviorListener.0-login-login-submit HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:50:13 +0200] "GET /elibrary/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:50:13 +0200] "GET /elibrary/?1 HTTP/1.1" 200 8699
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:50:50 +0200] "GET /elibrary/?1-1.ILinkListener-search~by~category-ADVENTURE HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:50:50 +0200] "GET /elibrary/?1 HTTP/1.1" 200 9226
0:0:0:0:0:0:0:1 - - [04/Feb/2017:13:50:52 +0200] "GET /elibrary/?1-2.ILinkListener-search~by~category-FANTASY HTTP/1.1" 302 -
