127.0.0.1 - - [16/Mar/2017:23:37:36 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:37:54 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage?3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:37:54 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:37:54 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage;jsessionid=1D594C0A56BD5CC3754074923543D54A?0 HTTP/1.1" 200 7237
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:37:54 +0200] "GET /elibrary/css/bootstrap-theme.min.css HTTP/1.1" 200 145229
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:37:54 +0200] "GET /elibrary/css/elibraryAdditionalStyle.css HTTP/1.1" 200 11714
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:37:54 +0200] "GET /elibrary/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-ajax-jquery-debug-ver-1470924768000.js HTTP/1.1" 200 9018
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:37:54 +0200] "GET /elibrary/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-ajax-jquery-ver-1470924768000.js HTTP/1.1" 200 87183
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:37:54 +0200] "GET /elibrary/js/jquery-1.11.3.js HTTP/1.1" 200 284394
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:37:54 +0200] "GET /elibrary/wicket/resource/org.apache.wicket.resource.JQueryResourceReference/jquery/jquery-1.12.4-ver-1470924768000.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:37:54 +0200] "GET /elibrary/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-event-jquery-ver-1470924768000.js HTTP/1.1" 200 9468
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:37:54 +0200] "GET /elibrary/css/bootstrap-datepicker3.min.css HTTP/1.1" 200 21183
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:37:54 +0200] "GET /elibrary/js/bootstrap-datepicker.min.js HTTP/1.1" 200 34129
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:37:54 +0200] "GET /elibrary/js/blockui.js HTTP/1.1" 200 21608
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:37:54 +0200] "GET /elibrary/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:37:54 +0200] "GET /elibrary/js/elibraryAdditionalJavaScript.js HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:37:55 +0200] "GET /elibrary/img/life_34-wallpaper-1920x10809.png HTTP/1.1" 200 1134880
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:00 +0200] "POST /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage;jsessionid=1D594C0A56BD5CC3754074923543D54A?0-1.IBehaviorListener.0-login-login-submit HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:09 +0200] "POST /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage;jsessionid=1D594C0A56BD5CC3754074923543D54A?0-1.IBehaviorListener.0-login-login-submit HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:09 +0200] "GET /elibrary/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:09 +0200] "GET /elibrary/?1 HTTP/1.1" 200 8699
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:11 +0200] "GET /elibrary/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:11 +0200] "GET /elibrary/?2 HTTP/1.1" 200 8699
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:15 +0200] "GET /elibrary/?2-1.ILinkListener-search~by~category-ADVENTURE HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:15 +0200] "GET /elibrary/?2 HTTP/1.1" 200 9226
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:17 +0200] "GET /elibrary/?2-2.ILinkListener-search~by~category-FANTASY HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:17 +0200] "GET /elibrary/?2 HTTP/1.1" 200 9790
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:20 +0200] "GET /elibrary/?2-3.ILinkListener-search~by~category-PROGRAMMING HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:20 +0200] "GET /elibrary/?2 HTTP/1.1" 200 9782
0:0:0:0:0:0:0:1 - - [16/Mar/2017:23:38:21 +0200] "GET /elibrary/?2-4.ILinkListener-search~by~category-HORROR HTTP/1.1" 302 -
