127.0.0.1 - - [08/Apr/2017:10:47:22 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:44 +0300] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage?3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:44 +0300] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:44 +0300] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage;jsessionid=0873CEDCD6677A2D183153B6BA4C38B8?0 HTTP/1.1" 200 6942
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:44 +0300] "GET /elibrary/css/bootstrap-theme.min.css HTTP/1.1" 200 145229
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:44 +0300] "GET /elibrary/css/elibraryAdditionalStyle.css HTTP/1.1" 200 11714
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:44 +0300] "GET /elibrary/css/bootstrap-datepicker3.min.css HTTP/1.1" 200 21183
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:44 +0300] "GET /elibrary/js/jquery-1.11.3.js HTTP/1.1" 200 284394
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:44 +0300] "GET /elibrary/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-event-jquery-ver-1470924768000.js HTTP/1.1" 200 9468
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:44 +0300] "GET /elibrary/wicket/resource/org.apache.wicket.resource.JQueryResourceReference/jquery/jquery-1.12.4-ver-1470924768000.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:44 +0300] "GET /elibrary/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-ajax-jquery-ver-1470924768000.js HTTP/1.1" 200 87183
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:44 +0300] "GET /elibrary/js/blockui.js HTTP/1.1" 200 21608
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:44 +0300] "GET /elibrary/js/bootstrap-datepicker.min.js HTTP/1.1" 200 34129
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:44 +0300] "GET /elibrary/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:44 +0300] "GET /elibrary/js/elibraryAdditionalJavaScript.js HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:45 +0300] "GET /elibrary/img/life_34-wallpaper-1920x10809.png HTTP/1.1" 200 1134880
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:45 +0300] "GET /elibrary/img/etab.png HTTP/1.1" 200 14778
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:46 +0300] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage;jsessionid=0873CEDCD6677A2D183153B6BA4C38B8?0-1.ILinkListener-nav~bar~panel-about HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:46 +0300] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.about.AboutPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:10:47:46 +0300] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.about.AboutPage?1 HTTP/1.1" 200 5032
