127.0.0.1 - - [03/May/2017:23:51:10 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:11 +0300] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage?3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:11 +0300] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:11 +0300] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage;jsessionid=9A5A45894463DBB589E8A3DC4D8D1DD3?0 HTTP/1.1" 200 6942
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:11 +0300] "GET /elibrary/css/bootstrap-theme.min.css HTTP/1.1" 200 145229
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:11 +0300] "GET /elibrary/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-event-jquery-ver-1470924768000.js HTTP/1.1" 200 9468
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:11 +0300] "GET /elibrary/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-ajax-jquery-ver-1470924768000.js HTTP/1.1" 200 87183
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:11 +0300] "GET /elibrary/wicket/resource/org.apache.wicket.resource.JQueryResourceReference/jquery/jquery-1.12.4-ver-1470924768000.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:11 +0300] "GET /elibrary/js/jquery-1.11.3.js HTTP/1.1" 200 284394
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:11 +0300] "GET /elibrary/css/bootstrap-datepicker3.min.css HTTP/1.1" 200 21183
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:11 +0300] "GET /elibrary/css/elibraryAdditionalStyle.css HTTP/1.1" 200 11714
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:11 +0300] "GET /elibrary/js/blockui.js HTTP/1.1" 200 21608
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:11 +0300] "GET /elibrary/js/elibraryAdditionalJavaScript.js HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:11 +0300] "GET /elibrary/js/bootstrap-datepicker.min.js HTTP/1.1" 200 34129
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:11 +0300] "GET /elibrary/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:12 +0300] "GET /elibrary/img/life_34-wallpaper-1920x10809.png HTTP/1.1" 200 1134880
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:15 +0300] "GET /elibrary/img/etab.png HTTP/1.1" 200 14778
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:22 +0300] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage;jsessionid=9A5A45894463DBB589E8A3DC4D8D1DD3?0-1.ILinkListener-login-login-signup HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:24 +0300] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.signup.SignupPage HTTP/1.1" 500 8307
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:24 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:43 +0300] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage?3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:43 +0300] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:43 +0300] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage?3 HTTP/1.1" 200 6635
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:46 +0300] "POST /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage?3-1.IBehaviorListener.0-login-login-submit HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:53 +0300] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage?3-1.ILinkListener-login-login-signup HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:53 +0300] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.signup.SignupPage HTTP/1.1" 500 8307
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:56 +0300] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage;jsessionid=9A5A45894463DBB589E8A3DC4D8D1DD3?0 HTTP/1.1" 200 6634
0:0:0:0:0:0:0:1 - - [03/May/2017:23:51:58 +0300] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.signup.SignupPage HTTP/1.1" 500 8307
