127.0.0.1 - - [01/Dec/2019:00:21:04 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:15 +0200] "GET /elibrary/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:16 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage;jsessionid=07F6F5A4581889BF6BEF5513DB623618 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:16 +0200] "GET /elibrary/wicket/bookmarkable/dskarpetis.elibrary.ui.authentication.LoginPage?1 HTTP/1.1" 200 6634
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:16 +0200] "GET /elibrary/css/bootstrap-theme.min.css HTTP/1.1" 200 145229
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:16 +0200] "GET /elibrary/css/elibraryAdditionalStyle.css HTTP/1.1" 200 11714
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:16 +0200] "GET /elibrary/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-event-jquery-ver-1470924768000.js HTTP/1.1" 200 9468
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:16 +0200] "GET /elibrary/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-ajax-jquery-ver-1470924768000.js HTTP/1.1" 200 87183
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:16 +0200] "GET /elibrary/wicket/resource/org.apache.wicket.resource.JQueryResourceReference/jquery/jquery-1.12.4-ver-1470924768000.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:16 +0200] "GET /elibrary/js/jquery-1.11.3.js HTTP/1.1" 200 284394
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:16 +0200] "GET /elibrary/css/bootstrap-datepicker3.min.css HTTP/1.1" 200 21183
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:16 +0200] "GET /elibrary/js/blockui.js HTTP/1.1" 200 21608
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:16 +0200] "GET /elibrary/js/elibraryAdditionalJavaScript.js HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:16 +0200] "GET /elibrary/js/bootstrap-datepicker.min.js HTTP/1.1" 200 34129
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:16 +0200] "GET /elibrary/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:16 +0200] "GET /elibrary/img/life_34-wallpaper-1920x10809.png HTTP/1.1" 200 1134880
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:17 +0200] "GET /elibrary/img/etab.png HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:30 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:30 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:21:41 +0200] "GET /index.jsp HTTP/1.1" 404 1012
0:0:0:0:0:0:0:1 - - [01/Dec/2019:00:24:13 +0200] "GET /eclipse-tomcat-rest/score/wins HTTP/1.1" 404 1054
